Altium Designer Pick and Place Locations
C:\Users\michi\Documents\ELSYS\Altium\uz_d_incr_encoder_v2\Project Outputs for UZ_D_Incr_Encoder\ProjectRevision\Pick Place\Pick_and_Place_UZ_D_Incr_Encoder_[No Variations]_Rev02.csv

========================================================================================================================
File Design Information:

Date:       10.03.22
Time:       19:30
Revision:   344247b69ee87a921b344544caa9c3c8d61b6dd7
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F3","1812_PTC_Polyfuse_Littelfuse","-2.5146","-2.5146","63.1190","63.1190","-4.9046","63.1190","0","Littelfuse_PTC_1812","TopLayer"
"F2","1812_PTC_Polyfuse_Littelfuse","-2.5908","-2.5908","67.4624","67.4624","-4.9808","67.4624","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","-2.4892","-2.4892","71.8820","71.8820","-4.8792","71.8820","0","Littelfuse_PTC_1812","TopLayer"
"C7_3","C_0805","90.0762","90.0762","26.7496","26.7496","90.0762","25.7496","90","0.1 µF","TopLayer"
"C7_2","C_0805","90.4444","90.4444","61.6264","61.6264","90.4444","60.6264","90","0.1 µF","TopLayer"
"C7_1","C_0805","90.6000","90.6000","93.8000","93.8000","90.6000","92.8000","90","0.1 µF","TopLayer"
"C6_3","C_0805","111.6455","111.6455","21.9246","21.9246","111.6455","20.9246","90","0.01 µF","TopLayer"
"C6_2","C_0805","111.7444","111.7444","56.6264","56.6264","111.7444","55.6264","90","0.01 µF","TopLayer"
"C4_3","C_0805","111.4762","111.4762","16.5496","16.5496","111.4762","17.5496","270","0.01 µF","TopLayer"
"C4_2","C_0805","111.8444","111.8444","51.3264","51.3264","111.8444","52.3264","270","0.01 µF","TopLayer"
"C3_3","C_0805","111.3762","111.3762","11.0496","11.0496","111.3762","12.0496","270","0.01 µF","TopLayer"
"C3_2","C_0805","111.8444","111.8444","46.0264","46.0264","111.8444","47.0264","270","0.01 µF","TopLayer"
"C2_3","C_0805","68.0762","68.0762","18.6496","18.6496","68.0762","19.6496","270","0.1 µF","TopLayer"
"C2_2","C_0805","67.4914","67.4914","53.3841","53.3841","67.4914","54.3841","270","0.1 µF","TopLayer"
"C1_3","C_0805","83.4880","83.4880","9.1692","9.1692","83.4880","8.1692","90","0.1 µF","TopLayer"
